,Geography,State,2011,2012,2013,2014,2015,2016,2017,AVE
1,Alabama,AL,4798649,4813946,4827660,4840037,4850858,4860545,4874747,4838063
2,Alaska,AK,722259,730825,736760,736759,737979,741522,739795,735128
4,Arizona,AZ,6465488,6544211,6616124,6706435,6802262,6908642,7016270,6722776
5,Arkansas,AR,2938640,2949208,2956780,2964800,2975626,2988231,3004279,2968223
6,California,CA,37672654,38019006,38347383,38701278,39032444,39296476,39536653,38657985
8,Colorado,CO,5116411,5186330,5262556,5342311,5440445,5530105,5607154,5355045
9,Connecticut,CT,3591927,3597705,3602470,3600188,3593862,3587685,3588184,3594574
10,Delaware,DE,907884,916868,925114,934805,944107,952698,961939,934774
11,District of Columbia,DC,620336,635630,650114,660797,672736,684336,693972,659703
12,Florida,FL,19097369,19341327,19584927,19897747,20268567,20656589,20984400,19975847
13,Georgia,GA,9810595,9911171,9981773,10083850,10199533,10313620,10429379,10104274
15,Hawaii,HI,1378323,1392772,1408038,1417710,1426320,1428683,1427538,1411341
16,Idaho,ID,1583180,1594673,1610187,1630391,1649324,1680026,1716943,1637818
17,Illinois,IL,12862298,12878494,12890403,12882438,12862051,12835726,12802023,12859062
18,Indiana,IN,6515358,6535665,6567484,6593182,6610596,6634007,6666818,6589016
19,Iowa,IA,3063690,3074386,3089876,3105563,3118473,3130869,3145711,3104081
20,Kansas,KS,2868756,2885316,2892900,2899553,2905789,2907731,2913123,2896167
21,Kentucky,KY,4368505,4383673,4399121,4410415,4422057,4436113,4454189,4410582
22,Louisiana,LA,4574388,4602681,4626795,4648797,4671211,4686157,4684333,4642052
23,Maine,ME,1327968,1328101,1327975,1328903,1327787,1330232,1335907,1329553
24,Maryland,MD,5843115,5891680,5932654,5970245,6000561,6024752,6052177,5959312
25,Massachusetts,MA,6612178,6659627,6711138,6757925,6794002,6823721,6859819,6745487
26,Michigan,MI,9876199,9886610,9899219,9914675,9918170,9933445,9962311,9912947
27,Minnesota,MN,5345967,5377695,5416074,5452649,5483238,5525050,5576606,5453897
28,Mississippi,MS,2977452,2982963,2987721,2988578,2985297,2985415,2984100,2984504
29,Missouri,MO,6010280,6023267,6041142,6058014,6072640,6091176,6113532,6058579
30,Montana,MT,996866,1003522,1011921,1019931,1028317,1038656,1050493,1021387
31,Nebraska,NE,1841641,1854862,1867414,1880920,1893564,1907603,1920076,1880869
32,Nevada,NV,2718170,2752410,2786547,2831730,2883057,2939254,2998039,2844172
33,New Hampshire,NH,1318345,1320923,1322622,1328684,1330134,1335015,1342795,1328360
34,New Jersey,NJ,8844694,8882095,8913735,8943010,8960001,8978416,9005644,8932514
35,New Mexico,NM,2077744,2083590,2085161,2083207,2082264,2085432,2088070,2083638
36,New York,NY,19526372,19625409,19712514,19773580,19819347,19836286,19849399,19734701
37,North Carolina,NC,9662940,9755299,9849812,9941160,10041769,10156689,10273419,9954441
38,North Dakota,ND,684830,701380,722908,738658,754859,755548,755393,730511
39,Ohio,OH,11543332,11546969,11567845,11593741,11606027,11622554,11658609,11591297
40,Oklahoma,OK,3785232,3815298,3849840,3875008,3904353,3921207,3930864,3868829
41,Oregon,OR,3865845,3893920,3919664,3960673,4016537,4085989,4142776,3983629
42,Pennsylvania,PA,12742811,12768034,12778450,12790341,12791124,12787085,12805537,12780483
44,Rhode Island,RI,1052154,1052761,1052784,1054782,1055916,1057566,1059639,1055086
45,South Carolina,SC,4672744,4719009,4765862,4824758,4892423,4959822,5024369,4836998
46,South Dakota,SD,823338,832576,842513,849455,854036,861542,869666,847589
47,Tennessee,TN,6396281,6450632,6490795,6540007,6590726,6649404,6715984,6547690
48,Texas,TX,25644424,26078327,26479279,26954436,27454880,27904862,28304596,26974401
49,Utah,UT,2815430,2854222,2899961,2938671,2984917,3044321,3101833,2948479
50,Vermont,VT,626210,625606,626044,625665,624455,623354,623657,624999
51,Virginia,VA,8107548,8188656,8261689,8316902,8366767,8414380,8470020,8303709
53,Washington,WA,6819155,6890899,6963410,7046931,7152818,7280934,7405743,7079984
54,West Virginia,WV,1854891,1855360,1852333,1847624,1839767,1828637,1815857,1842067
55,Wisconsin,WI,5705812,5721075,5736673,5751272,5759744,5772917,5795483,5748997
56,Wyoming,WY,567602,576608,582341,583334,586102,584910,579315,580030
